# Coding: utf-8
# File format version: 2
# Title: CAMS McClear v3.1 model of clear-sky irradiation.
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level assuming clear sky.
#           Calls on the McClear clear-sky model. Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (worldwide coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: MINES ParisTech (France)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-mcclear
# Date begin (ISO 8601): 2019-03-05T00:00:00.0
# Date end (ISO 8601): 2019-03-19T00:00:00.0
# Latitude (positive North, ISO 19115): 36.7076
# Longitude (positive East, ISO 19115): 113.9000
# Altitude (m): 471.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_assuming_clear_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 0 day 0 h 15 min 0 s
# noValue: nan
# File generated on: 2021-08-23
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI
2019-03-05T18:00:00.0/2019-03-05T18:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T18:15:00.0/2019-03-05T18:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T18:30:00.0/2019-03-05T18:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T18:45:00.0/2019-03-05T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T19:00:00.0/2019-03-05T19:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T19:15:00.0/2019-03-05T19:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T19:30:00.0/2019-03-05T19:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T19:45:00.0/2019-03-05T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T20:00:00.0/2019-03-05T20:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T20:15:00.0/2019-03-05T20:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T20:30:00.0/2019-03-05T20:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T20:45:00.0/2019-03-05T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T21:00:00.0/2019-03-05T21:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T21:15:00.0/2019-03-05T21:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T21:30:00.0/2019-03-05T21:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T21:45:00.0/2019-03-05T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T22:00:00.0/2019-03-05T22:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T22:15:00.0/2019-03-05T22:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T22:30:00.0/2019-03-05T22:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T22:45:00.0/2019-03-05T23:00:00.0;1.6929;0.3892;0.0162;0.3730;0.3371
2019-03-05T23:00:00.0/2019-03-05T23:15:00.0;16.8017;5.1269;0.9165;4.2104;16.7927
2019-03-05T23:15:00.0/2019-03-05T23:30:00.0;34.6188;13.6814;4.4617;9.2196;43.3980
2019-03-05T23:30:00.0/2019-03-05T23:45:00.0;52.1972;24.8207;10.9782;13.8425;72.0289
2019-03-05T23:45:00.0/2019-03-06T00:00:00.0;69.4615;37.6686;19.9581;17.7105;98.9443
2019-03-06T00:00:00.0/2019-03-06T00:15:00.0;86.3379;51.2842;30.3641;20.9201;121.4359
2019-03-06T00:15:00.0/2019-03-06T00:30:00.0;102.7540;65.0824;41.4255;23.6569;139.3461
2019-03-06T00:30:00.0/2019-03-06T00:45:00.0;118.6397;78.9348;53.0280;25.9069;154.5750
2019-03-06T00:45:00.0/2019-03-06T01:00:00.0;133.9269;92.6138;64.8792;27.7346;167.5874
2019-03-06T01:00:00.0/2019-03-06T01:15:00.0;148.5502;105.9480;76.7544;29.1935;178.7807
2019-03-06T01:15:00.0/2019-03-06T01:30:00.0;162.4469;118.8191;88.5581;30.2611;188.6500
2019-03-06T01:30:00.0/2019-03-06T01:45:00.0;175.5577;131.1184;100.1653;30.9532;197.4591
2019-03-06T01:45:00.0/2019-03-06T02:00:00.0;187.8264;142.7302;111.3327;31.3975;205.1510
2019-03-06T02:00:00.0/2019-03-06T02:15:00.0;199.2004;153.5777;121.9505;31.6271;211.8946
2019-03-06T02:15:00.0/2019-03-06T02:30:00.0;209.6311;163.5953;131.9251;31.6701;217.8269
2019-03-06T02:30:00.0/2019-03-06T02:45:00.0;219.0740;172.7271;141.1764;31.5506;223.0595
2019-03-06T02:45:00.0/2019-03-06T03:00:00.0;227.4884;180.9394;149.6497;31.2897;227.7049
2019-03-06T03:00:00.0/2019-03-06T03:15:00.0;234.8385;187.8878;156.4949;31.3929;230.6754
2019-03-06T03:15:00.0/2019-03-06T03:30:00.0;241.0929;193.5705;161.6695;31.9010;232.1214
2019-03-06T03:30:00.0/2019-03-06T03:45:00.0;246.2248;198.2204;165.8795;32.3409;233.2020
2019-03-06T03:45:00.0/2019-03-06T04:00:00.0;250.2122;201.8096;169.0960;32.7136;233.9353
2019-03-06T04:00:00.0/2019-03-06T04:15:00.0;253.0381;204.3202;171.3005;33.0197;234.3378
2019-03-06T04:15:00.0/2019-03-06T04:30:00.0;254.6905;205.7394;172.4804;33.2590;234.4201
2019-03-06T04:30:00.0/2019-03-06T04:45:00.0;255.1623;206.0603;172.6294;33.4309;234.1875
2019-03-06T04:45:00.0/2019-03-06T05:00:00.0;254.4517;205.2811;171.7470;33.5340;233.6397
2019-03-06T05:00:00.0/2019-03-06T05:15:00.0;252.5616;203.4056;169.8391;33.5665;232.7714
2019-03-06T05:15:00.0/2019-03-06T05:30:00.0;249.5002;200.4434;166.9176;33.5257;231.5723
2019-03-06T05:30:00.0/2019-03-06T05:45:00.0;245.2808;196.4092;163.0008;33.4084;230.0259
2019-03-06T05:45:00.0/2019-03-06T06:00:00.0;239.9214;191.3234;158.1130;33.2104;228.1096
2019-03-06T06:00:00.0/2019-03-06T06:15:00.0;233.4451;185.2058;152.2710;32.9348;225.7723
2019-03-06T06:15:00.0/2019-03-06T06:30:00.0;225.8798;178.0881;145.5127;32.5754;222.9739
2019-03-06T06:30:00.0/2019-03-06T06:45:00.0;217.2577;170.0137;137.8975;32.1163;219.6857
2019-03-06T06:45:00.0/2019-03-06T07:00:00.0;207.6161;161.0262;129.4781;31.5481;215.8461
2019-03-06T07:00:00.0/2019-03-06T07:15:00.0;196.9962;151.1754;120.3162;30.8592;211.3779
2019-03-06T07:15:00.0/2019-03-06T07:30:00.0;185.4436;140.5182;110.4830;30.0352;206.1850
2019-03-06T07:30:00.0/2019-03-06T07:45:00.0;173.0079;129.1199;100.0612;29.0587;200.1458
2019-03-06T07:45:00.0/2019-03-06T08:00:00.0;159.7424;117.0551;89.1464;27.9088;193.1047
2019-03-06T08:00:00.0/2019-03-06T08:15:00.0;145.7041;104.4101;77.8490;26.5612;184.8574
2019-03-06T08:15:00.0/2019-03-06T08:30:00.0;130.9530;91.2865;66.2986;24.9879;175.1311
2019-03-06T08:30:00.0/2019-03-06T08:45:00.0;115.5526;77.8064;54.6513;23.1551;163.5551
2019-03-06T08:45:00.0/2019-03-06T09:00:00.0;99.5687;64.1231;43.1036;21.0195;149.6263
2019-03-06T09:00:00.0/2019-03-06T09:15:00.0;83.0701;50.5280;32.0708;18.4572;133.3322
2019-03-06T09:15:00.0/2019-03-06T09:30:00.0;66.1273;37.2696;21.8401;15.4295;113.8432
2019-03-06T09:30:00.0/2019-03-06T09:45:00.0;48.8132;24.6476;12.7321;11.9155;89.4689
2019-03-06T09:45:00.0/2019-03-06T10:00:00.0;31.2018;13.3048;5.4762;7.8287;59.1630
2019-03-06T10:00:00.0/2019-03-06T10:15:00.0;13.3687;4.3329;1.0463;3.2866;21.9800
2019-03-06T10:15:00.0/2019-03-06T10:30:00.0;0.5196;0.1199;0.0038;0.1162;0.0000
2019-03-06T10:30:00.0/2019-03-06T10:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-06T10:45:00.0/2019-03-06T11:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-06T11:00:00.0/2019-03-06T11:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-06T11:15:00.0/2019-03-06T11:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-06T11:30:00.0/2019-03-06T11:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-06T11:45:00.0/2019-03-06T12:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-06T12:00:00.0/2019-03-06T12:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-06T12:15:00.0/2019-03-06T12:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-06T12:30:00.0/2019-03-06T12:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-06T12:45:00.0/2019-03-06T13:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-06T13:00:00.0/2019-03-06T13:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-06T13:15:00.0/2019-03-06T13:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-06T13:30:00.0/2019-03-06T13:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-06T13:45:00.0/2019-03-06T14:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-06T14:00:00.0/2019-03-06T14:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-06T14:15:00.0/2019-03-06T14:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-06T14:30:00.0/2019-03-06T14:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-06T14:45:00.0/2019-03-06T15:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-06T15:00:00.0/2019-03-06T15:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-06T15:15:00.0/2019-03-06T15:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-06T15:30:00.0/2019-03-06T15:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-06T15:45:00.0/2019-03-06T16:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-06T16:00:00.0/2019-03-06T16:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-06T16:15:00.0/2019-03-06T16:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-06T16:30:00.0/2019-03-06T16:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-06T16:45:00.0/2019-03-06T17:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-06T17:00:00.0/2019-03-06T17:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-06T17:15:00.0/2019-03-06T17:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-06T17:30:00.0/2019-03-06T17:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-06T17:45:00.0/2019-03-06T18:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-06T18:00:00.0/2019-03-06T18:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-06T18:15:00.0/2019-03-06T18:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-06T18:30:00.0/2019-03-06T18:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-06T18:45:00.0/2019-03-06T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-06T19:00:00.0/2019-03-06T19:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-06T19:15:00.0/2019-03-06T19:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-06T19:30:00.0/2019-03-06T19:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-06T19:45:00.0/2019-03-06T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-06T20:00:00.0/2019-03-06T20:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-06T20:15:00.0/2019-03-06T20:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-06T20:30:00.0/2019-03-06T20:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-06T20:45:00.0/2019-03-06T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-06T21:00:00.0/2019-03-06T21:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-06T21:15:00.0/2019-03-06T21:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-06T21:30:00.0/2019-03-06T21:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-06T21:45:00.0/2019-03-06T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-06T22:00:00.0/2019-03-06T22:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-06T22:15:00.0/2019-03-06T22:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-06T22:30:00.0/2019-03-06T22:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-06T22:45:00.0/2019-03-06T23:00:00.0;2.4802;0.6697;0.0807;0.5890;2.0871
2019-03-06T23:00:00.0/2019-03-06T23:15:00.0;18.4855;6.9504;2.4060;4.5444;41.3617
2019-03-06T23:15:00.0/2019-03-06T23:30:00.0;36.3028;17.4371;8.7673;8.6698;82.1135
2019-03-06T23:30:00.0/2019-03-06T23:45:00.0;53.8801;29.9095;17.8034;12.1062;113.5912
2019-03-06T23:45:00.0/2019-03-07T00:00:00.0;71.1420;43.3450;28.4291;14.9158;137.8431
2019-03-07T00:00:00.0/2019-03-07T00:15:00.0;88.0149;57.0152;39.6244;17.3909;155.5456
2019-03-07T00:15:00.0/2019-03-07T00:30:00.0;104.4263;70.5532;50.8146;19.7385;168.2239
2019-03-07T00:30:00.0/2019-03-07T00:45:00.0;120.3061;83.9100;61.9841;21.9259;178.1714
2019-03-07T00:45:00.0/2019-03-07T01:00:00.0;135.5862;96.9391;72.9542;23.9849;186.1053
2019-03-07T01:00:00.0/2019-03-07T01:15:00.0;150.2013;109.5235;83.5900;25.9334;192.5096
2019-03-07T01:15:00.0/2019-03-07T01:30:00.0;164.0888;121.5650;93.7817;27.7833;197.7157
2019-03-07T01:30:00.0/2019-03-07T01:45:00.0;177.1893;132.9791;103.4354;29.5437;201.9545
2019-03-07T01:45:00.0/2019-03-07T02:00:00.0;189.4467;143.6911;112.4688;31.2222;205.3907
2019-03-07T02:00:00.0/2019-03-07T02:15:00.0;200.8085;153.6464;120.8213;32.8251;208.1639
2019-03-07T02:15:00.0/2019-03-07T02:30:00.0;211.2261;162.8031;128.4461;34.3570;210.3891
2019-03-07T02:30:00.0/2019-03-07T02:45:00.0;220.6550;171.0864;135.2997;35.7867;212.1465
2019-03-07T02:45:00.0/2019-03-07T03:00:00.0;229.0547;178.4559;141.4040;37.0519;213.5884
2019-03-07T03:00:00.0/2019-03-07T03:15:00.0;236.3894;184.9334;146.8259;38.1076;214.8959
2019-03-07T03:15:00.0/2019-03-07T03:30:00.0;242.6277;190.4820;151.5322;38.9498;216.0823
2019-03-07T03:30:00.0/2019-03-07T03:45:00.0;247.7429;194.9931;155.2858;39.7072;216.8629
2019-03-07T03:45:00.0/2019-03-07T04:00:00.0;251.7131;198.4427;158.0636;40.3791;217.2600
2019-03-07T04:00:00.0/2019-03-07T04:15:00.0;254.5214;200.8124;159.8486;40.9638;217.2886
2019-03-07T04:15:00.0/2019-03-07T04:30:00.0;256.1559;202.0892;160.6303;41.4589;216.9569
2019-03-07T04:30:00.0/2019-03-07T04:45:00.0;256.6095;202.2658;160.4045;41.8614;216.2676
2019-03-07T04:45:00.0/2019-03-07T05:00:00.0;255.8804;201.3405;159.1733;42.1672;215.2175
2019-03-07T05:00:00.0/2019-03-07T05:15:00.0;253.9717;199.3170;156.9455;42.3715;213.7980
2019-03-07T05:15:00.0/2019-03-07T05:30:00.0;250.8918;196.2049;153.7363;42.4685;211.9950
2019-03-07T05:30:00.0/2019-03-07T05:45:00.0;246.6539;192.0193;149.5680;42.4513;209.7879
2019-03-07T05:45:00.0/2019-03-07T06:00:00.0;241.2761;186.7811;144.4693;42.3118;207.1497
2019-03-07T06:00:00.0/2019-03-07T06:15:00.0;234.7816;180.5225;138.4959;42.0266;204.0742
